count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5]
531,1727834750.1999326,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
532,1727834750.2003596,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
533,1727834750.7084737,-276731.5970031181,318714.86240303126,100130.98569676102,116295.13400030538,-159735.87482510338,0.0
534,1727834750.7086902,-276212.9068003082,318020.8725012283,101213.81730479028,115972.87522926193,-159303.88938090013,0.0
535,1727834751.2142785,-275590.4785569364,318136.53748486214,101523.19776422721,116536.82807858795,-160414.70909456565,0.0
536,1727834751.2144957,-274656.8361918786,318367.8674521298,101781.01481375798,116174.28696116409,-160352.9968882509,0.0
537,1727834751.724398,-275486.7405163744,318252.202468496,102090.39527319491,116174.28696116409,-160291.28468193614,0.0
538,1727834751.7246873,-274241.8840296307,320102.8422066373,101781.01481375798,116053.43992202281,-160538.13350719513,0.0
539,1727834752.235174,-275486.7405163744,316401.5627303546,101523.19776422721,115972.87522926193,-161278.67998297216,0.0
540,1727834752.2353656,-275797.9546380603,317211.2176157914,102760.71960197491,116697.9574641097,-161772.3776334902,0.0
541,1727834752.7459795,-275694.21659749834,319061.8573539328,103688.86098028568,115852.02819012065,-161895.8020461197,0.0
542,1727834752.7461796,-275694.21659749834,321143.8270593418,101987.2684533826,115811.74584374018,-161895.8020461197,0.0
543,1727834753.2524803,-274968.05031356454,320796.8321084403,100130.98569676102,116456.2633858271,-160599.8457135099,0.0
544,1727834753.2529016,-274241.8840296307,316632.89269762224,98016.88589060871,116295.13400030538,-160538.13350719513,0.0
545,1727834753.762816,-273930.6699079448,313047.2782049734,96779.36405286101,116375.69869306625,-161031.83115771314,0.0
546,1727834753.7630234,-272685.81342120114,314319.5930249456,96830.92746276717,115932.5928828815,-159982.72365036237,0.0
547,1727834754.3000627,-273826.93186738284,314088.2630576779,97346.56156182871,116134.00461478363,-159303.88938090013,0.0
548,1727834754.3002884,-272582.0753806392,312931.61322133953,96882.49087267334,116617.39277134882,-159550.73820615912,0.0
549,1727834754.8090067,-273515.7177456969,313856.93309041025,96779.36405286101,116214.5693075445,-159859.2992377329,0.0
550,1727834754.8092084,-273411.97970513493,311890.628368635,96160.60313398716,116295.13400030538,-160784.98233245412,0.0
551,1727834756.723762,-271544.69497501943,310849.64351593057,95438.71539530101,116375.69869306625,-160229.57247562136,0.0
552,1727834756.7243457,-272789.5514617631,310849.64351593057,95438.71539530101,116536.82807858795,-160291.28468193614,0.0
553,1727834757.0258944,-273619.4557862589,308767.67381052155,95748.09585473793,116738.23981049011,-160784.98233245412,0.0
554,1727834757.0263984,-273723.1938268209,310155.65361412754,95748.09585473793,116335.41634668579,-159921.01144404762,0.0
555,1727834757.2399962,-273204.503624011,310039.9886304937,95954.34949436254,116778.52215687055,-160476.42130088038,0.0
556,1727834757.2402916,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
557,1727834757.448932,-273826.93186738284,308189.3488923523,95129.33493586407,116214.5693075445,-160291.28468193614,0.0
558,1727834757.449228,-274760.5742324406,307379.6940069155,95541.84221511331,116295.13400030538,-160908.4067450837,0.0
559,1727834757.6593108,-272374.59929951525,307148.36403964786,95799.65926464408,116617.39277134882,-160908.4067450837,0.0
560,1727834757.6597195,-273308.24166457297,308189.3488923523,95593.40562501946,117382.75735257703,-159982.72365036237,0.0
561,1727834757.8696663,-274034.40794850676,309230.3337450569,95387.15198539484,117221.6279670553,-160291.28468193614,0.0
562,1727834757.8699617,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
563,1727834758.079381,-272685.81342120114,308652.0088268877,95541.84221511331,116939.65154239227,-159365.60158721486,0.0
564,1727834758.0797355,-272167.12321839127,309577.32869595836,94149.63014764714,116536.82807858795,-159242.17717458535,0.0
565,1727834758.2901683,-272270.8612589532,311196.63846683205,95026.20811605177,116174.28696116409,-159859.2992377329,0.0
566,1727834758.2904942,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
567,1727834758.5025547,-272582.0753806392,309924.32364685985,95541.84221511331,116456.2633858271,-160106.14806299185,0.0
568,1727834758.5029366,-273723.1938268209,310039.9886304937,95387.15198539484,116174.28696116409,-159489.02599984437,0.0
569,1727834758.7146413,-274138.1459890688,309114.66876142303,95799.65926464408,115932.5928828815,-159303.88938090013,0.0
